
GREETING_INTRODUCTION ;Wir sind die {0}.\n\nWir sind friedliche Wanderer, die Harmonie und guten Willen mit allen suchen.
GREETING_FRIENDLY ;Welchen teuflischen Plan wollen Sie mit uns teilen, Freund?
GREETING_NEUTRAL ;Begründen Sie Ihre Präsenz vor uns
GREETING_ANGRY ;Sie sind gekommen, um mit uns zu sprechen, Feind?\n\nWas haben Sie zu sagen?

OFFER_FREETRADE ;Werden Sie ein Freihandelsabkommen mit uns abschließen?\n\nUnser beider Volkswirtschaften werden davon stark profitieren. Und wir können Sie auch für eine spätere Eroberung einschätzen.\n\nWas sagen Sie dazu?
FREETRADE_ACCEPT ;Ein Freihandelsabkommen wäre sehr nützlich. Wir akzeptieren
FREETRADE_REJECT ;Nein, wir sind nicht an einem Freihandelsabkommen interessiert.\n\nWir haben andere Pläne für Sie...

CANCELTREATY ;Unser {0} mit Ihnen ist nun beendet.\n\nDiese Vereinbarung hat für uns keinen Nutzen mehr
CANCELTREATY_RESPONSE_FRIENDLY ;Wir mochten Sie einmal.\n\nAber vielleicht haben wir die Dinge falsch eingeschätzt...
CANCELTREATY_RESPONSE_NEUTRAL ;Nun gut. Wir haben Ihre Beleidigung zur Kenntnis genommen.
CANCELTREATY_RESPONSE_ANGRY ;Gut, gut. Dieser Vertrag kam unseren Plänen sowieso in die Quere

TREATY_PROPOSAL ;Was genau schlagen Sie vor?
TREATY_ACCEPTRESPONSE ;Ausgezeichnet!\n\nWir hoffen, dass Sie gefügige und unterwürfige Verbündete sind. Sind Sie das?
TREATY_REJECTRESPONSE ;Wie eigenwillig von Ihnen.\n\nDas ist keine Eigenschaft, die wir mögen.

TRADESANCTIONS_IMPOSE ;Es ist an der Zeit, Sie weich zu klopfen: Wir verhängen Handelssanktionen gegen Sie!\n\nMühen Sie sich nicht zu antworten; wir sind nicht an Ihrer Antwort interessiert
TRADESANCTIONS_IMPOSE_RESPONSE_ANGRY ;Wir kochen vor Wut auf Sie!\n\nDenken Sie nicht, dass Sie stark genug sind, uns herauszufordern - das sind Sie nicht
TRADESANCTIONS_IMPOSE_RESPONSE_NEUTRAL ;Wenn uns die Sache wichtig wäre, wären wir vielleicht wütend.\n\nAber das sind wir nicht
TRADESANCTIONS_IMPOSE_RESPONSE_SURPRISED ;Wir geben zu, dass Ihr Handeln uns überrascht hat.\n\nAber wir danken Ihnen, dass Sie sich als Feind für uns zu erkennen gegeben haben.\n\nSeien Sie versichert, dass wir uns mit Ihnen befassen werden, wenn wir bereit sind...
