
INFO_NOFUNDS ;Sieht so aus, als hätten Sie nicht genug Geld, um das zu bezahlen
INFO_UNMETEMPIRE ;Das neue Reich heißt {0}
INFO_EXPLORATION ;Wir haben Ihnen Karten des {0} Systems im Sektor {1} gegeben
INFO_INDEPENDENTCOLONY ;Die unabhängige Kolonie befindet sich bei {0} 
INFO_RUINS ;Unsere Kontakte haben uns von uralten Ruinen erzählt, die {0} im Sektor {1}.\n\nVielleicht finden Sie dort etwas von Wert...
INFO_DEBRISFIELD ;Wir haben Gerüchte über ein riesiges Trümmerfeld von Schiffswracks aus einer alten Schlacht im {0} System im Sektor {1} gehört.\n\nAnscheinend sind viele der Wracks bergbar. Wenn Sie ein Konstruktionsschiff schicken, sollten Sie in der Lage sein, einige von ihnen zu bergen...
INFO_PLANETDESTROYER ;Wir haben Gerüchte über ein kolossales, verlassenes Bauprojekt im {0} System in Sektor {1} gehört.\n\nWir sind unsicher, wofür das Projekt gedacht ist, aber mit der richtigen Ausrüstung könnte es wahrscheinlich fertiggestellt werden...
INFO_RESTRICTEDAREA ;Wir haben Gerüchte über ein geheimes Sperrgebiet in der Nähe des {0} Systems in Sektor {1} gehört.\n\nAnscheinend stellen Schiffe, die dieses Gebiet betreten, fest, dass ihr Hyperantrieb plötzlich und auf mysteriöse Weise deaktiviert wird. Von vielen, die dieses Gebiet betreten, hört man nie wieder etwas...
PIRATE_PROTECTIONPROPOSE ;Es ist klug von Ihnen, uns um Schutz zu bitten. Für die unten angegebene, völlig angemessene Gebühr können wir Ihre Sicherheit in unserem gesamten Gebiet gewährleisten.
PIRATE_PROTECTIONPROPOSEINITIATE ;Wer weiß, welche versteckten Gefahren auf Sie warten, wenn Sie durch die gesetzlosen Regionen des Weltraums reisen?\n\nFür die unten angegebene, völlig angemessene Gebühr können wir Ihre Sicherheit in unserem gesamten Gebiet gewährleisten.\n\nWas sagen Sie?
PIRATE_PROTECTIONACCEPTRESPONSE ;Ausgezeichnet! Wir werden dafür sorgen, dass Ihre Schiffe keine 'unglücklichen Unfälle' erleiden, bis unsere nächste Gebühr fällig ist...
PIRATE_PROTECTIONREJECTRESPONSE ;Zu schade, dass Sie so geizig sind! Ohne Bezahlung können wir nicht für Ihre Sicherheit garantieren...
PIRATE_PROTECTIONALREADYPAID ;Sie haben uns bereits Schutz gezahlt.\n\nKommen Sie wieder, wenn Ihr aktueller Schutzzeitraum abläuft. Wir nehmen dann gerne weitere Zahlungen entgegen.
PIRATE_BUYINFO ;Wir können Ihnen Informationen zu jedem der unten aufgeführten Artikel zu den angegebenen Preisen liefern
PIRATE_ATTACKOFFER_EMPIRES ;Wir wären bereit, jedes der unten aufgeführten Reiche zu den angegebenen Preisen anzugreifen
PIRATE_ATTACKOFFER_SINGLEEMPIRE ;Scheint, als hätten Sie Probleme mit den {0}. Wir würden uns sehr freuen, ihre Basen für Sie anzugreifen.\n\n Natürlich würden wir unsere Abmachung sehr diskret handhaben - niemand würde davon erfahren.\n\n Alles, was wir für diesen Service verlangen, ist eine kleine Zahlung von {1} Credits. Was sagen Sie dazu?
PIRATE_ATTACKCOMMENCE ;Betrachten Sie es als gut angelegtes Geld. Wir werden sofort mit unseren Angriffen auf die {0} beginnen!

PIRATE_ALLIANCEPROPOSE ;Ihre frühere Vereinbarung mit uns ist jetzt ausgelaufen. Warum gehen Sie nicht ein dauerhaftes Bündnis mit uns ein?\n\nFür die laufende monatliche Gebühr von {0} Credits könnten wir sowohl Ihre Schiffe schützen als auch Ihre Feinde angreifen, während Sie Ihre Hände sauber halten.\n\nWas meinen Sie?
PIRATE_ALLIANCEACCEPT ;Wir akzeptieren Ihr Angebot einer Allianz
PIRATE_ALLIANCEACCEPTRESPONSE ;Eine ausgezeichnete Entscheidung!\n\nWir werden dafür sorgen, dass Ihre Schiffe vor unseren Plünderern sicher sind. Und wir werden damit beginnen, die Anlagen Ihrer Feinde ins Visier zu nehmen.\n\nSagen Sie uns, wenn es jemanden gibt, den wir besonders angreifen sollen.
PIRATE_ALLIANCEREJECT ;Wir lehnen Ihr Bündnisangebot ab
PIRATE_ALLIANCEREJECTRESPONSE ;Eine schlechte Wahl.\n\nWir können Ihnen nicht helfen, wenn Sie nicht angemessen entschädigt werden.\n\nPiraterie ist ein teures Geschäft, wissen Sie!
PIRATE_ALLIANCECANCEL ;Wir möchten diese Allianz kündigen
PIRATE_ALLIANCECANCELRESPONSE ;Ein trauriges Ende einer höchst profitablen Beziehung...\n\nDenken Sie daran, dass wir ohne laufende Zahlungen die Sicherheit Ihrer Schiffe nicht gewährleisten können.\n\nVielleicht sollten Sie es sich noch einmal überlegen?

INFO_OFFER_UNMETEMPIRE ;Der Austausch mit anderen Zivilisationen ist der Schlüssel zu Wachstum und Wohlstand, meinen Sie nicht auch?\n\nWir können Sie für {0} Credits mit einem anderen Reich in Kontakt bringen
INFO_OFFER_INDEPENDENTCOLONY ;Sie fragen sich, wo Sie Ihre nächste Kolonie gründen sollen?\n\nWir können Ihnen für {0} Credits den Standort einer unabhängigen Kolonie nennen
INFO_OFFER_SYSTEMMAPS ;Die Kenntnis Ihrer Umgebung ist der Schlüssel zum Überleben.\n\nWir haben Karten eines unerforschten Systems, die wir Ihnen für {0} Credits verkaufen können
INFO_OFFER_RUINS ;In der Galaxie sind viele wertvolle Geheimnisse verborgen.\n\nWir haben eine faszinierende Entdeckung gemacht, die wir gerne für {0} Credits mit Ihnen teilen würden.\n\nWas sagen Sie dazu?
INFO_OFFER_DEBRISFIELD ;In der Galaxie sind viele wertvolle Geheimnisse verborgen.\n\nWir haben eine faszinierende Entdeckung gemacht, die wir gerne mit Ihnen für {0} Credits teilen würden.\n\nWas sagen Sie dazu?
INFO_OFFER_RESTRICTEDAREA ;In der gesamten Galaxie sind viele wertvolle Geheimnisse verborgen.\n\nWir haben eine faszinierende Entdeckung gemacht, die wir gerne mit Ihnen für {0} Credits teilen würden.\n\nWas sagen Sie dazu?
INFO_OFFER_PLANETDESTROYER ;In der Galaxie sind viele wertvolle Geheimnisse verborgen.\n\nWir haben eine faszinierende Entdeckung gemacht, die wir gerne mit Ihnen für {0} Credits teilen würden.\n\nWas sagen Sie dazu?

OFFER_FREETRADE ;Wir fordern Sie auf, mit unserer dynamischen Wirtschaft ein Freihandelsabkommen zu schließen!\n\nWas sagen Sie dazu?
OFFER_PROTECTORATE ;Unsere Freunde, wir bieten Ihnen Zuflucht in einem Protektoratsvertrag. Unser mächtiges Reich wird Sie gegen alle Angreifer verteidigen.\n\nWas halten Sie davon?
OFFER_MUTUALDEFENSE ;Unsere guten Freunde, wir sind der Meinung, dass es in unser beider Interesse wäre, einen gegenseitigen Verteidigungspakt zu schließen.\n\nDies würde andere davon abhalten, einen von uns anzugreifen.\n\nWas halten Sie davon?

OFFER_DEAL_TERRITORYMAP ;Möchten Sie Gebietskarten tauschen?
OFFER_DEAL_GALAXYMAP ;Möchten Sie die Galaxiekarten tauschen?
OFFER_DEAL_COMPONENT ;Möchten Sie Technologie von uns kaufen?\n\nWir sind bereit, Ihnen {0} für {1} Credits zu verkaufen.\n\nWas sagen Sie dazu?

DEAL_OFFER ;Bitte prüfen Sie dieses Handelsangebot.\n\nWir geben Ihnen: {0}...\n\n...im Austausch für: {1}
DEAL_DEMAND ;Wir verlangen von Ihnen den Verzicht auf das Besitzrecht von:\n\n{1}
DEAL_THREAT ;Sie müssen uns dies geben:\n\n{1}\n\n...{0}
DEAL_ACCEPTCOMPLAIN ;Wir gehen auf Ihre unverschämten Forderungen ein, aber unter Zwang!
DEAL_IMPROVE ;Ihr Vorschlag ist es wert, weiter geprüft zu werden - können Sie Ihr Angebot verbessern?
DEAL_REJECTCOMPLAIN ;Tyrannisieren Sie uns nicht! Wir haben keine Angst vor Ihren Drohungen!
DEAL_REJECTDEMAND_RESPONSE ;Wie können Sie es wagen, unser völlig vernünftiges Ultimatum abzulehnen!\n\nDas ist der letzte Fehler, den Sie jemals machen werden!
