TYP; REGELSET; DATEI; PFAD; INFO
DEUTSCH_UND_ENGLISCH_GLEICH; Basic-Versionen #1 Nur Name; ComponentDefinitions.xml; /*/*/Name (10); Texte von 'Englisch Neu' bzw. 'Englisch Alt' stimmen mit dem Text in 'Deutsch Alt' überein.
DEUTSCH_UND_ENGLISCH_GLEICH; Basic-Versionen #1 Nur Name; ComponentDefinitions.xml; /*/*/Name (47); Texte von 'Englisch Neu' bzw. 'Englisch Alt' stimmen mit dem Text in 'Deutsch Alt' überein.
DEUTSCH_UND_ENGLISCH_GLEICH; Basic-Versionen #1 Nur Name; ComponentDefinitions.xml; /*/*/Name (56); Texte von 'Englisch Neu' bzw. 'Englisch Alt' stimmen mit dem Text in 'Deutsch Alt' überein.
DEUTSCH_UND_ENGLISCH_GLEICH; Basic-Versionen #1 Nur Name; ComponentDefinitions.xml; /*/*/Name (72); Texte von 'Englisch Neu' bzw. 'Englisch Alt' stimmen mit dem Text in 'Deutsch Alt' überein.
DEUTSCH_UND_ENGLISCH_GLEICH; Basic-Versionen #1 Nur Name; ComponentDefinitions.xml; /*/*/Name (133); Texte von 'Englisch Neu' bzw. 'Englisch Alt' stimmen mit dem Text in 'Deutsch Alt' überein.
DEUTSCH_UND_ENGLISCH_GLEICH; Basic-Versionen #1 Nur Name; ComponentDefinitions.xml; /*/*/Name (134); Texte von 'Englisch Neu' bzw. 'Englisch Alt' stimmen mit dem Text in 'Deutsch Alt' überein.
DEUTSCH_UND_ENGLISCH_GLEICH; Basic-Versionen #1 Nur Name; ComponentDefinitions.xml; /*/*/Name (222); Texte von 'Englisch Neu' bzw. 'Englisch Alt' stimmen mit dem Text in 'Deutsch Alt' überein.
DEUTSCH_UND_ENGLISCH_GLEICH; Basic-Versionen #1 Nur Name; ComponentDefinitions.xml; /*/*/Name (247); Texte von 'Englisch Neu' bzw. 'Englisch Alt' stimmen mit dem Text in 'Deutsch Alt' überein.
DEUTSCH_UND_ENGLISCH_GLEICH; Basic-Versionen #1 Nur Name; ComponentDefinitions.xml; /*/*/Name (250); Texte von 'Englisch Neu' bzw. 'Englisch Alt' stimmen mit dem Text in 'Deutsch Alt' überein.
DEUTSCH_UND_ENGLISCH_GLEICH; Basic-Versionen #1 Nur Name; ComponentDefinitions.xml; /*/*/Name (315); Texte von 'Englisch Neu' bzw. 'Englisch Alt' stimmen mit dem Text in 'Deutsch Alt' überein.
