
GREETING_INTRODUCTION			;We are the {0}.\n\nWe fear no one. We defend our territory with courage.\n\nDo not provoke us
GREETING_FRIENDLY			;Speak your mind with us, ally
GREETING_NEUTRAL			;You have something to say?
GREETING_ANGRY				;Speak quickly, your mere presence angers us!

PIRATE_PROTECTIONPROPOSE		;Looking for protection?\n\nFor the small fee shown below we can 'protect' all your ships in our region
PIRATE_PROTECTIONPROPOSEINITIATE	;The galaxy can be a dark and dangerous place. Without proper protection you could get hurt.\n\nWe can ensure that no harm comes to any of your ships while trading in our territory.\n\nThe monthly fee for protection is shown below

PIRATE_PROTECTIONACCEPTRESPONSE		;You have made a good choice!\n\nYou have six months of trouble-free trading for all your ships
PIRATE_PROTECTIONREJECTRESPONSE		;If you don't pay, scary things could happen.\n\nThat would be sad
PIRATE_ATTACKOFFER_SINGLEEMPIRE		;You aren't getting along very well with the {0}. We could help you with this problem by inflicting painful losses on the {0}.\n\nThey won't know what hit them!\n\nJust pay us {1} credits and let us take care of things for you.\n\nIs it a deal?
PIRATE_ATTACKCOMMENCE			;Money transfer received.\n\nOur attacks on the {0} are beginning immediately!


OFFER_FREETRADE				;We offer you a Free Trade Agreement. The profits could be enormous!\n\nDo you accept?
FREETRADE_ACCEPT			;This Free Trade Agreement sounds very profitable! We accept!
FREETRADE_REJECT			;We do not want a Free Trade Agreement with you. You are too weak to benefit us

CANCELTREATY				;This {0} no longer works for us. We are cancelling it
CANCELTREATY_RESPONSE_FRIENDLY		;How unfortunate.\n\nWe valued this treaty. It seems that you did not
CANCELTREATY_RESPONSE_NEUTRAL		;Fine, then. This treaty is finished
CANCELTREATY_RESPONSE_ANGRY		;Ha ha! Is this meant to scare us? We can teach you real fear.\n\nDo not push us!

TREATY_PROPOSAL				;State your offer. We are listening
TREATY_ACCEPTRESPONSE			;Good, good. Welcome to our new allies!
TREATY_REJECTRESPONSE			;That is your choice. However it is a poor choice

TRADESANCTIONS_IMPOSE			;Now you will feel our anger! We are terminating all trade between our two empires immediately.\n\nLet's see how much you enjoy Trade Sanctions!
TRADESANCTIONS_IMPOSE_RESPONSE_ANGRY	;How dare you cut us off like this!\n\nYou will feel our fury! We will not accept this!
TRADESANCTIONS_IMPOSE_RESPONSE_NEUTRAL	;Save your annoying speeches for someone else.\n\nWe do not fear the loss of your trade. We are strong
TRADESANCTIONS_IMPOSE_RESPONSE_SURPRISED	;Trade Sanctions?! Are you sure about this?\n\nMaybe you should reconsider this foolish move...
TRADESANCTIONS_LIFT			;Our Trade Sanctions against you have ended. We are resuming normal trade.\n\nDo not anger us again
TRADESANCTIONS_LIFT_RESPONSE		;You may do as you wish. Your actions make no difference to us

WAR_DECLARE				;You provoke us too far - our rage overflows!\n\nWAR on your pathetic empire! We will bring you to your end
WAR_DECLARE_RESPONSE_EAGER		;We welcome war with you! Now we can wipe you from the galaxy!
WAR_DECLARE_RESPONSE_NEUTRAL		;This will not end well for you.\n\nPrepare your defenses - you will need them!
WAR_DECLARE_RESPONSE_SURPRISED		;We did not expect such betrayal from you.\n\nBut now you have set your destiny: we will terminate your worthless civilization

WAR_END					;Our anger is quenched. Now it is time for this war to end.\n\nWhat do you say?
WAR_END_ACCEPT				;Yes, we agree to end this war. For now, at least...
WAR_END_REJECT				;No, we are enjoying this war far too much to want to end it!

GIFT_GIVE				;We give you {0} credits. Aren't we generous!
GIFT_THANKS				;A gift? For us? How wonderful! Thank you

WARNING_INTELLIGENCEMISSIONS			;Your covert missions greatly anger us!\n\nStop them right now, or experience our painful response!
WARNING_ATTACKS					;Why are you attacking our ships?!\n\nStop it! We are angry, angry, ANGRY!

WARNING						;What is this warning?
WARNING_INTELLIGENCEMISSIONS_RESPONSE_FRIENDLY	;We don't know of any missions against you, friend.\n\nBut then we don't always know everything that goes on in our vast empire.\n\nWe'll look into this matter for you
WARNING_INTELLIGENCEMISSIONS_RESPONSE_NEUTRAL	;We will investigate your allegations
WARNING_INTELLIGENCEMISSIONS_RESPONSE_ANGRY	;Covert missions? Yes, we just don't like you.\n\nYou can expect more of them, and hopefully you won't detect the next ones...
WARNING_ATTACKS_RESPONSE_FRIENDLY		;Our apologies: some of our starship captains must have gotten a little carried away.\n\nWe'll see that it doesn't occur again
WARNING_ATTACKS_RESPONSE_NEUTRAL		;That is most troublesome. We will investigate this matter
WARNING_ATTACKS_RESPONSE_ANGRY			;Attacks? Well, yes we sent those attacks.\n\nYou are surprised by this? Do you think we like you or something?
