
GREETING_INTRODUCTION ;Hallo lustiger Außerirdischer! {0} wir sind.\n\nFreunde mit Ihnen, wir sind!
GREETING_FRIENDLY ;Schön, Sie zu sehen, mein Freund. Wir helfen Ihnen, ja?
GREETING_NEUTRAL ;Wir hören zu. Sie sprechen
GREETING_ANGRY ;Was wollt ihr Stinker dieses Mal?

PIRATE_PROTECTIONPROPOSE ;Sie wollen, dass wir Sie beschützen? Gute Idee!\n\nFür die unten angegebene Gebühr können wir alle Ihre Schiffe in unserer Region sechs Monate lang 'schützen'.\n\nSind Sie bereit zu zahlen?
PIRATE_PROTECTIONPROPOSEINITIATE ;Die Galaxie ist ein gefährlicher Ort, wissen Sie. Man kann sich leicht verletzen.\n\nFür eine geringe Gebühr können wir alle Ihre Schiffe in unserer Region sechs Monate lang schützen.\n\nSie sollten zahlen, hmmm?
PIRATE_PROTECTIONACCEPTRESPONSE ;Ihr Geld riecht wirklich gut!\n\nKeine Unfälle für Ihre Schiffe, bis wir das ganze Geld ausgegeben haben, ok?
PIRATE_PROTECTIONREJECTRESPONSE ;Keine Bezahlung - kein Schutz.\n\nSehr einfach, das ist es
PIRATE_PROTECTIONALREADYPAID ;Sie verrückter Außerirdischer! Sie haben bereits bezahlt!\n\nKommen Sie später wieder. Wir nehmen dann mehr Geld
PIRATE_BUYINFO ;Hier sind all die geheimen Sachen, von denen wir wissen.\n\nKlicken Sie einfach auf alles, was Sie wollen, ok?
PIRATE_ATTACKOFFER_EMPIRES ;Wir schicken große Angriffe auf jeden auf der Liste.\n\nKlicken Sie einfach auf den, den Sie angegriffen haben wollen, ok?
PIRATE_ATTACKOFFER_SINGLEEMPIRE ;Sie mögen {0} nicht? Keine Sorge - wir werden es niemandem sagen, ok?\n\nZahlen Sie uns einfach {1} Credits und wir kümmern uns um alles.\n\nKlingt das gut?
PIRATE_ATTACKCOMMENCE ;Wir haben das Geld. {0} bekommt eine Abreibung!\n\nBye!

PIRATE_ALLIANCEPROPOSE ;Wir haben das ganze Geld ausgegeben, das Sie uns gegeben haben. Wie wäre es jetzt mit einer dauerhaften Allianz mit uns?\n\nGeben Sie uns jeden Monat {0} Credits und wir beschützen Ihre Schiffe und greifen Ihre Feinde an, ohne dass Sie in Schwierigkeiten geraten.\n\nGuter Deal, ja?
PIRATE_ALLIANCEACCEPTRESPONSE ;Sie sind schlauer als Sie aussehen!\n\nWir sind jetzt Freunde für immer - schicken Sie uns einfach weiter das Geld, ok.\n\nIch muss jetzt gehen - wir machen alle eure Feinde fertig!
PIRATE_ALLIANCEREJECTRESPONSE ;Dummer Außerirdischer!\n\nWir müssen essen, wissen Sie. Kein Lohn, keine Hilfe für Sie - kapiert?
PIRATE_ALLIANCECANCELRESPONSE ;Sehr, sehr schlecht.\n\nWir brauchen Ihr Geld - wenn Sie es uns nicht geben, dann müssen wir es uns eben nehmen.\n\nNoch ist es nicht zu spät, es sich anders zu überlegen, ok?

OFFER_FREETRADE ;Sie und wir sind Freunde - haben ein Freihandelsabkommen. Eine Menge Geld!\n\nRiecht gut, oder?
FREETRADE_ACCEPT ;Wir sind sehr froh, ein Freihandelsabkommen mit Ihnen zu haben! Zeit für ein großes Fest!
FREETRADE_REJECT ;Nein, wir wollen kein Freihandelsabkommen.\n\nVielleicht später, ok

CANCELTREATY ;{0} mit Ihnen hat sich erledigt. Wir haben jetzt genug
CANCELTREATY_RESPONSE_FRIENDLY ;Sind wir jetzt keine Freunde mehr? Riechen wir schlecht? Was ist das? Sehr traurig
CANCELTREATY_RESPONSE_NEUTRAL ;Vertrag vorbei? Also gut
CANCELTREATY_RESPONSE_ANGRY ;Wir mögen Sie sowieso nicht. Sie riechen komisch und sind kein guter Jäger.\n\nGehen Sie jetzt

TREATY_PROPOSAL ;Erzählen Sie uns von Ihrem Deal - wir sagen Ihnen, ob er gut oder schlecht riecht
TREATY_ACCEPTRESPONSE ;Wir machen ein großes Festmahl! Willkommen Freunde!
TREATY_REJECTRESPONSE ;Sie verpassen viele große Feste, viel gute Jagd. Denken Sie nach - ändern Sie Ihre Meinung

TRADESANCTIONS_IMPOSE ;Handelssanktionen gegen Sie jetzt! Keine Feste mehr, keine Jagd mehr.\n\nWir werden Euch schon helfen!
TRADESANCTIONS_IMPOSE_RESPONSE_ANGRY ;Böse, böse! Sie werden dafür bezahlen! Wütend, wütend!
TRADESANCTIONS_IMPOSE_RESPONSE_NEUTRAL ;Ihre Lieferung hat sowieso gestunken. Uns schadet das nicht
TRADESANCTIONS_IMPOSE_RESPONSE_SURPRISED ;Kein Handel mehr? Warum eigentlich? Sind wir jetzt keine Freunde mehr?
TRADESANCTIONS_LIFT ;Wir beenden jetzt die Handelssanktionen gegen Sie.\n\nSie können wieder mit uns auf die Jagd gehen, wenn Sie wollen
TRADESANCTIONS_LIFT_RESPONSE ;Ihre Waren stinken immer noch. Aber wir kaufen jetzt wieder stinkendes Zeug von Ihnen

WAR_DECLARE ;Krieg gegen Sie! Sie stecken in großen Schwierigkeiten - wir jagen SIE!
WAR_DECLARE_RESPONSE_EAGER ;Wir haben keine Angst. Wir sind gute Jäger. Sie werden es bereuen
WAR_DECLARE_RESPONSE_NEUTRAL ;Wir sind bereit für den Krieg. Unsere Speere sind scharf!
WAR_DECLARE_RESPONSE_SURPRISED ;Ihr seid alle durcheinander! Wir sind Freunde und haben ein Festmahl - keinen Krieg! Sagt uns, dass es ein Fehler ist

WAR_END ;Die große Jagdzeit ist jetzt vorbei. Wir wollen ein Festmahl.\n\nKrieg beenden, ja?
WAR_END_ACCEPT ;Ja, wir beenden den Krieg jetzt. Bereit für das große Festmahl
WAR_END_REJECT ;Nein, wir haben gerade mit der Jagd begonnen. Wir beenden den Krieg jetzt nicht. Es ist noch nicht Zeit für ein Festmahl

GIFT_GIVE ;Wir geben Ihnen {0} Credits. Sie können jetzt ein großes Festmahl genießen!
GIFT_THANKS ;Vielen Dank für das Geld! Alle Dinge riechen gut!

WARNING_INTELLIGENCEMISSIONS ;Hören Sie auf, uns zu bespitzeln! Wir werden wütend über die Heimlichtuerei.\n\nNicht mehr spionieren - wir warnen Sie!
WARNING_ATTACKS ;Hören Sie auf, unsere Schiffe zu jagen! Das riecht alles sehr übel.\n\nGroße Warnung: wir jagen SIE, wenn Sie nicht aufhören

WARNING ;Wovor warnen Sie uns?
WARNING_INTELLIGENCEMISSIONS_RESPONSE_FRIENDLY ;Keine Missionen für Sie, Freund. Wir sind nicht hinterhältig
WARNING_INTELLIGENCEMISSIONS_RESPONSE_NEUTRAL ;Wirklich? Das habe ich noch nicht gehört. Wir werden das überprüfen, ok?
WARNING_INTELLIGENCEMISSIONS_RESPONSE_ANGRY ;Missionen für Sie? Oh ja, wir mögen Sie nicht - Sie stinken sehr.\n\nAlso schicken wir Missionen. Vielleicht schicken wir mehr, wenn Sie immer noch stinken.
WARNING_ATTACKS_RESPONSE_FRIENDLY ;Oh, Entschuldigung. Wir haben Sie mit jemandem verwechselt.\n\nWird nicht wieder vorkommen
WARNING_ATTACKS_RESPONSE_NEUTRAL ;Das ist nicht gut. Wir werden vorsichtiger sein, ok?
WARNING_ATTACKS_RESPONSE_ANGRY ;Angriffe auf Sie? Ja - wir mögen Sie nicht.\n\nWir schicken mehr Angriffe, wenn Sie sich nicht benehmen, ok?
